AN,DT_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,ID_GR,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,NB_VICTIMES,NB_VEH_ACCDN_C,IN_ACCDN_CHMIN_PBL,CD_MUNCP,NO_ROUTE,BORNE_KM_ACCDN,CD_PNT_CDRNL_ROUTE,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,CD_PNT_CDRNL_REPRR,NB_METRE_DIST_ACCD,CD_ASPCT_ROUTE,CD_CATEG_ROUTE,CD_CONFG_ROUTE,CD_ENVRN_ACCDN,CD_LOCLN_ACCDN,VITSS_AUTOR,CD_COND_METEO,CD_ECLRM,CD_ETAT_CHASS,CD_ETAT_SURFC,CD_POSI_ACCDN,CD_IMPAC_ACCDN,CYC_MORT,CYC_GRAVE,CYC_LEGER,CYC_TOTAL,TYP_VEH_1,TYP_VEH_2,TYP_VEH_3,TYP_VEH_4,TYP_VEH_5,TYP_VEH_6,TYP_VEH_7,TYP_VEH_8,TYP_VEH_9,MOUV_VEH_1,MOUV_VEH_2,MOUV_VEH_3,MOUV_VEH_4,MOUV_VEH_5,MOUV_VEH_6,MOUV_VEH_7,MOUV_VEH_8,MOUV_VEH_9,SIGN_VEH_1,SIGN_VEH_2,SIGN_VEH_3,SIGN_VEH_4,SIGN_VEH_5,SIGN_VEH_6,SIGN_VEH_7,SIGN_VEH_8,SIGN_VEH_9
2014,2014-04-09,16:30,ME,3,0,0,1,1,2,O,54072,,,,,,PARC,1,GABRIEL,,,11,14,2,1,32,30,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,41,ND,,,,,,,,40,ND,,,,,,,
2014,2014-04-10,16:25,JE,3,0,0,1,1,2,O,66023,,,,,,HOCHELAGA,1,PREFONTAINE,N,,11,13,3,3,32,50,11,1,1,11,09,26,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-04-10,12:35,JE,3,0,0,1,1,2,O,67020,,,,,,BD DE L INDUSTRIE,1,BD MONTCALM N,O,,21,13,3,3,32,50,11,1,1,11,06,25,0,0,1,1,61,76,,,,,,,,45,41,,,,,,,,40,31,,,,,,,
2014,2014-04-10,18:05,JE,3,0,0,1,1,2,O,64008,,,,,,DU PARC PHILIPPE VILLENEUVE,1,GUERIN,,,11,14,2,1,32,30,11,1,1,11,06,23,0,0,1,1,61,76,,,,,,,,41,43,,,,,,,,40,40,,,,,,,
2014,2014-04-10,12:02,JE,3,0,0,2,2,2,O,60028,,,,,,ST ETIENNE,1,ST JEAN BAPTISTE,O,20,22,14,2,2,33,40,11,1,1,11,06,33,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-04-10,17:44,JE,3,0,0,1,1,2,O,74005,,,,,,LAPOINTE,1,BRAULT,,,11,13,2,4,32,50,11,1,1,11,06,23,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,40,40,,,,,,,
2014,2014-04-10,20:00,JE,3,0,0,1,1,2,O,23027,,,,,,BOISSEAU,1,ST LUC,,,11,14,1,2,32,50,11,2,1,11,06,99,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,40,,,,,,,
2014,2014-04-11,,VE,3,0,0,1,1,2,O,58227,,,,00141,,LAFAYETTE EN FACE,,,,,11,13,3,2,33,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-04-11,15:00,VE,3,0,0,1,1,2,N,36033,,,,09850,,BD DES HETRES,,,,,11,29,2,3,99,50,11,1,1,11,05,99,0,0,1,1,61,76,,,,,,,,99,41,,,,,,,,31,31,,,,,,,
2014,2014-04-11,18:00,VE,3,0,0,1,1,2,N,54048,,,,16075,,ST LOUIS,,,,,11,21,2,3,33,50,11,1,1,11,09,99,0,0,1,1,61,76,,,,,,,,51,41,,,,,,,,31,31,,,,,,,
2014,2014-04-11,17:29,VE,3,0,0,1,1,2,O,39062,,,,00287,,N-D O,,,,,11,14,2,2,99,50,11,1,1,11,09,21,0,0,1,1,61,76,,,,,,,,99,41,,,,,,,,31,31,,,,,,,
2014,2014-04-12,15:40,SA,3,0,0,1,1,2,O,66035,,,,,,ST ZOTIQUE E,1,1RE AV,,,11,13,2,2,32,50,11,1,1,11,06,26,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,34,ND,,,,,,,
2014,2014-04-13,12:00,DI,3,0,0,1,1,2,O,58227,,,,01185,,CH DU TREMBLAY,,,,,11,22,2,3,32,30,12,1,1,12,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,40,,,,,,,
2014,2014-04-13,16:45,DI,3,0,0,1,1,2,O,72005,,,,,,FERE,1,PAQUIN,,,11,13,2,2,32,40,12,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,31,,,,,,,
2014,2014-04-14,21:18,LU,3,0,0,1,1,2,O,66023,,,,,,LAURIER,1,HENRI JULIEN,,,11,14,1,2,32,40,14,3,1,12,,99,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,31,31,,,,,,,
2014,2014-04-14,19:30,LU,3,0,0,1,1,2,O,58227,,,,00257,,GENTILLY,,,,,11,14,2,2,32,50,14,3,1,12,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,31,,,,,,,
2014,2014-04-14,14:22,LU,2,0,1,0,1,2,O,47040,241,,N,,,,,,,,14,12,2,5,32,90,11,1,1,11,06,22,0,1,0,1,61,76,,,,,,,,44,ND,,,,,,,,40,ND,,,,,,,
2014,2014-04-15,9:45,MA,3,0,0,1,1,2,O,66023,,,,,,N-D,1,ST PIERRE,E,100,11,13,3,3,33,50,15,1,1,12,,99,0,0,1,1,61,76,,,,,,,,54,ND,,,,,,,,31,ND,,,,,,,
2014,2014-04-15,16:23,MA,3,0,0,1,1,2,O,66023,,,,,,VILLENEUVE,1,NELSON,,,13,14,2,2,32,40,14,1,1,12,06,27,0,0,1,1,76,61,,,,,,,,41,44,,,,,,,,40,40,,,,,,,
2014,2014-04-15,18:15,MA,3,0,0,1,1,2,O,23027,,,,02115,,GERONIE GARIEPY,,,,,11,14,2,2,33,50,14,2,1,12,06,99,0,0,1,1,76,61,,,,,,,,ND,52,,,,,,,,31,31,,,,,,,
2014,2014-04-15,20:42,MA,3,0,0,1,1,2,O,61030,,,,,,AV AUBIN,1,AV PIERRE,,,11,14,2,2,32,50,14,4,1,12,06,99,0,0,1,1,61,76,,,,,,,,43,ND,,,,,,,,40,ND,,,,,,,
2014,2014-04-16,17:25,ME,3,0,0,1,1,2,O,66023,,,,,,GOSFORD,1,N-D,N,10,12,13,2,3,33,50,11,1,1,11,07,99,0,0,1,1,68,76,,,,,,,,47,54,,,,,,,,33,31,,,,,,,
2014,2014-04-16,17:50,ME,3,0,0,1,1,2,O,66023,,,,,,CHRISTOPHE COLOMB,1,SAURIOL,,,11,13,3,1,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,44,ND,,,,,,,,38,ND,,,,,,,
2014,2014-04-17,11:50,JE,3,0,0,1,1,3,O,66023,,,,04318,,FULLUM,,MARIE ANGE,N,25,11,14,2,2,33,,11,1,,11,,34,0,0,1,1,68,76,61,,,,,,,48,41,49,,,,,,,31,31,31,,,,,,
2014,2014-04-17,13:43,JE,3,0,0,1,1,2,O,23027,,,,,,BD CHAREST O,1,D ARGENSON,,,11,13,3,3,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,ND,ND,,,,,,,,ND,ND,,,,,,,
2014,2014-04-17,18:13,JE,3,0,0,1,1,2,O,23027,,,,,,PROVENCAL,1,MAURICE PAQUET,,,11,14,2,2,,30,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,ND,,,,,,,,31,ND,,,,,,,
2014,2014-04-17,21:22,JE,1,1,0,0,1,2,O,23027,,,,,,41E RUE E,1,2E AV E,,,11,13,3,3,32,50,12,3,1,11,06,28,1,0,0,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-04-18,2:55,VE,3,0,0,1,1,2,O,66032,,,,00311,,AV VICTORIA,,,,,11,14,2,2,34,,11,3,1,11,06,99,0,0,1,1,ND,76,,,,,,,,41,59,,,,,,,,31,31,,,,,,,
2014,2014-04-19,16:15,SA,3,0,0,1,1,2,O,67040,221,,,,,MTEE ST ISIDORE,1,RG ST REGIS S,,,11,12,2,3,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,40,,,,,,,
2014,2014-04-19,21:09,SA,3,0,0,1,1,2,O,75017,,,,,,,1,LAJEUNESSE ET MGR DUBOIS,N,,11,14,3,3,32,50,11,3,1,11,06,21,0,0,1,1,76,61,,,,,,,,41,45,,,,,,,,33,33,,,,,,,
2014,2014-04-19,8:27,SA,3,0,0,1,1,2,O,23057,,,,,,WILFRID HAMEL,1,JULES VERNE,,,11,,4,3,32,,12,1,1,11,05,21,0,0,1,1,61,76,,,,,,,,45,41,,,,,,,,37,34,,,,,,,
2014,2014-04-20,18:31,DI,2,0,1,0,1,2,O,57035,,,,00734,,OZIAS LEDUC,,,,,11,14,2,2,33,,11,1,1,11,07,33,0,1,0,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-04-20,9:22,DI,3,0,0,1,1,2,O,64008,337,,,10221,,BD LAURIER,,,,,11,12,2,3,34,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-04-20,7:12,DI,3,0,0,1,1,2,O,23027,,,,,,BD LAURIER,1,MAGUIRE,,,11,13,4,2,32,50,11,1,1,11,06,99,0,0,1,1,68,76,,,,,,,,41,ND,,,,,,,,34,ND,,,,,,,
2014,2014-04-21,15:20,LU,3,0,0,1,1,2,O,66023,,,,,,RACHEL,1,ST LAURENT,,,12,13,1,3,32,,11,1,1,11,05,24,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,34,34,,,,,,,
2014,2014-04-21,14:59,LU,3,0,0,1,1,2,O,81017,,,,,,LOIS,1,MGR BEAUDOIN,S,40,11,14,2,3,33,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,41,ND,,,,,,,,31,ND,,,,,,,
2014,2014-04-21,17:20,LU,3,0,0,1,1,2,O,73015,,,,,,CH COTE ST LOUIS E,1,DES LOTUS,,,11,15,2,2,32,50,11,1,1,11,,27,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,40,40,,,,,,,
2014,2014-04-21,13:48,LU,3,0,0,1,1,2,O,23027,,,,01336,,PROVENCHER,,,,,11,13,2,2,33,50,11,1,1,11,06,26,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,31,31,,,,,,,
2014,2014-04-21,18:13,LU,3,0,0,1,1,2,O,23027,,,,01225,,JACQUES,,,,,21,14,2,2,34,,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-04-22,11:50,MA,3,0,0,1,1,2,O,66023,,,,02434,,CHARLES DARWIN,2,FACE A L ADRESSE,N,,11,14,2,2,33,30,14,1,1,12,06,99,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-04-22,21:50,MA,3,0,0,1,1,2,O,66023,,,,,,ST URBAIN,1,MAISONNEUVE,,,11,13,1,3,32,50,14,3,1,12,06,28,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,34,34,,,,,,,
2014,2014-04-22,13:30,MA,3,0,0,1,1,2,,58227,,,,,,BD DESAULNIERS,1,BD LAFAYETTE,N,5,11,13,4,2,32,50,14,2,1,12,05,99,0,0,1,1,68,76,,,,,,,,43,41,,,,,,,,41,31,,,,,,,
2014,2014-04-22,20:25,MA,3,0,0,1,1,2,O,23027,,,,,,CHAMFLEURY,1,24E RUE,,,11,14,2,2,32,50,14,3,1,12,06,21,0,0,1,1,76,61,,,,,,,,41,41,,,,,,,,40,40,,,,,,,
2014,2014-04-23,8:48,ME,3,0,0,1,1,2,O,66023,,,,06910,,BOYER OPP,2,BELANGER,S,100,11,14,1,2,34,40,12,1,,11,,21,0,0,1,1,62,76,,,,,,,,46,ND,,,,,,,,31,31,,,,,,,
2014,2014-04-23,12:58,ME,3,0,0,1,1,2,O,81017,,,,,,BD HOPITAL,1,DE LA FUTAIE,,,11,13,3,2,32,,12,1,,11,,21,0,0,1,1,61,76,,,,,,,,45,41,,,,,,,,37,34,,,,,,,
2014,2014-04-23,18:37,ME,3,0,0,1,1,2,O,58227,,,,,,RAOUL,1,JEAN MARC BLIER,O,8,11,14,2,2,33,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,41,44,,,,,,,,31,31,,,,,,,
2014,2014-04-23,16:50,ME,3,0,0,1,1,2,O,71065,,,,,,DE LA RIVELAINE,1,RHAPSODIE,,,11,14,2,2,32,40,12,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,40,,,,,,,
2014,2014-04-24,10:30,JE,3,0,0,1,1,2,O,66023,,,,,,BD PIERREFONDS,1,PAIEMENT,,,11,14,3,2,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,33,33,,,,,,,
2014,2014-04-24,18:09,JE,3,0,0,1,1,2,O,73010,117,,S,00327,,LABELLE,,,,,11,12,3,3,34,60,11,1,1,11,06,28,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-04-25,20:10,VE,2,0,1,0,1,2,O,66023,,,,,,BISHOP POWER,1,CHAMPLAIN,,,11,13,3,3,32,50,11,2,1,11,06,21,0,1,0,1,61,76,,,,,,,,41,ND,,,,,,,,37,ND,,,,,,,
2014,2014-04-25,20:30,VE,3,0,0,1,1,2,O,66023,,,,,,RENE LEVESQUE,1,JEANNE MANCE,O,15,11,13,3,3,33,50,12,3,1,11,,34,0,0,1,1,ND,76,,,,,,,,ND,41,,,,,,,,ND,31,,,,,,,
2014,2014-04-25,21:40,VE,3,0,0,1,1,2,O,66023,,,,,,STE CATHERINE ET BERCY,1,BERCY,,,11,13,2,3,32,50,11,3,1,11,06,33,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-04-25,16:33,VE,3,0,0,1,1,2,O,64015,,,,,,BD MASCOUCHE,1,AV DE MONPASSANT,,,11,13,2,2,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,40,,,,,,,
2014,2014-04-25,22:31,VE,3,0,0,1,1,2,O,23027,,,,,,CH STE FOY,1,MURRAY,,,11,13,1,2,32,50,12,3,1,11,06,26,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,34,34,,,,,,,
2014,2014-04-25,16:00,VE,3,0,0,1,1,2,O,71033,,,,00216,,DU COMTE,,,,,11,13,9,2,33,50,11,1,1,11,05,99,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,31,31,,,,,,,
