AN,DT_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,ID_GR,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,NB_VICTIMES,NB_VEH_ACCDN_C,IN_ACCDN_CHMIN_PBL,CD_MUNCP,NO_ROUTE,BORNE_KM_ACCDN,CD_PNT_CDRNL_ROUTE,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,CD_PNT_CDRNL_REPRR,NB_METRE_DIST_ACCD,CD_ASPCT_ROUTE,CD_CATEG_ROUTE,CD_CONFG_ROUTE,CD_ENVRN_ACCDN,CD_LOCLN_ACCDN,VITSS_AUTOR,CD_COND_METEO,CD_ECLRM,CD_ETAT_CHASS,CD_ETAT_SURFC,CD_POSI_ACCDN,CD_IMPAC_ACCDN,CYC_MORT,CYC_GRAVE,CYC_LEGER,CYC_TOTAL,TYP_VEH_1,TYP_VEH_2,TYP_VEH_3,TYP_VEH_4,MOUV_VEH_1,MOUV_VEH_2,MOUV_VEH_3,MOUV_VEH_4,SIGN_VEH_1,SIGN_VEH_2,SIGN_VEH_3,SIGN_VEH_4
2013,2013-04-17,18:12,ME,3,0,0,1,1,2,O,23057,138,,E,06541,,WILFRID HAMEL,,,,,11,12,3,3,33,,11,1,1,11,06,26,0,0,1,1,61,76,,,44,41,,,31,31,,
2013,2013-04-18,10:04,JE,3,0,0,1,1,2,O,66023,,,,,,BERRI,1,ONTARIO,,,14,13,1,3,32,50,12,1,1,11,05,99,0,0,1,1,61,76,,,43,41,,,ND,37,,
2013,2013-04-18,10:57,JE,3,0,0,1,1,2,O,81017,,,,,,BD MONTCLAIR,1,BERRI,,,11,13,2,3,32,50,14,1,1,12,06,99,0,0,1,1,61,76,,,41,41,,,40,40,,
2013,2013-04-18,15:45,JE,3,0,0,1,1,2,O,64008,337,,S,,,BD MOODY,1,BD DE HAUTEVILLE,N,,11,12,5,3,32,50,11,1,1,11,06,28,0,0,1,1,61,76,,,43,41,,,34,34,,
2013,2013-04-19,10:39,VE,3,0,0,1,1,2,O,66023,,,,06526,,MONK,,,,,11,13,2,2,34,,11,1,1,11,06,26,0,0,1,1,61,76,,,56,41,,,31,ND,,
2013,2013-04-19,9:00,VE,3,0,0,1,1,2,O,66023,,,,03430,,PEEL,1,SHERBROOKE O,N,30,11,19,3,3,34,50,11,1,1,11,06,99,0,0,1,1,61,76,,,99,41,,,31,31,,
2013,2013-04-19,9:32,VE,3,0,0,1,1,2,O,43027,,,,01280,,GALT E,,,,,13,13,2,4,33,50,11,1,1,11,06,99,0,0,1,1,76,61,,,41,41,,,31,31,,
2013,2013-04-19,15:45,VE,3,0,0,1,1,2,O,81017,,,,,,DEMERS,1,GABRIELLE ROY,,,11,14,2,2,32,40,12,1,1,12,06,99,0,0,1,1,76,61,,,41,43,,,40,31,,
2013,2013-04-19,11:30,VE,3,0,0,1,1,2,O,58227,,,,,,PL DU COLLEGE,1,LAVALLEE,,,11,14,2,2,32,40,11,1,1,11,05,21,0,0,1,1,61,76,,,41,41,,,31,40,,
2013,2013-04-19,18:10,VE,3,0,0,1,1,2,O,05032,132,,O,00095,,BD GERARD D LEVESQUE O,,,,,11,12,2,3,32,50,11,1,1,11,06,33,0,0,1,1,76,61,,,41,47,,,31,31,,
2013,2013-04-21,20:30,DI,3,0,0,1,1,2,O,66023,,,,,,AV DU PARC LAFONTAINE,1,CHERRIER,,5,13,13,3,3,32,50,11,3,1,11,05,26,0,0,1,1,61,76,,,43,44,,,33,37,,
2013,2013-04-21,13:30,DI,3,0,0,1,1,2,O,25213,132,,,01646,,RTE MARIE VICTORIN,1,RTE PAQUET,E,2000,11,12,2,5,99,90,11,1,1,11,06,21,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-04-21,8:46,DI,3,0,0,1,1,2,O,60013,,,,,,JEAN TALON,1,N-D,N,20,11,14,2,2,,50,11,1,1,11,06,37,0,0,1,1,61,76,,,41,41,,,31,31,,
2013,2013-04-21,15:48,DI,3,0,0,1,1,2,O,23072,,,,,,RACETTE,1,DE TREFLE,,,11,14,2,2,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,41,41,,,40,40,,
2013,2013-04-22,12:00,LU,3,0,0,1,1,2,O,66023,,,,14365,,BD PIERREFONDS FACE,,,,,11,13,3,3,33,50,11,1,1,11,05,99,0,0,1,1,61,76,,,43,41,,,31,31,,
2013,2013-04-22,21:38,LU,3,0,0,1,1,2,O,66087,,,,,,CH HERRON,2,AV DORVAL,E,100,21,13,1,3,40,50,11,3,1,11,06,99,0,0,1,1,61,76,,,43,41,,,31,ND,,
2013,2013-04-22,13:45,LU,2,0,1,0,1,2,O,66023,,,,,,HOTEL DE VILLE,,SHERBROOKE,N,4,11,13,1,2,32,50,11,1,1,11,06,28,0,1,0,1,61,76,,,43,47,,,33,33,,
2013,2013-04-22,16:00,LU,3,0,0,1,1,2,O,58227,,,,,,DUMONT,1,DUHAMEL,,,11,14,2,2,32,30,11,1,1,11,06,21,0,0,1,1,61,76,,,41,41,,,40,40,,
2013,2013-04-23,15:15,MA,2,0,1,0,1,2,N,66023,,,,03800,,QUEEN MARY STAT FACE AU,,,,,13,23,2,9,99,,11,1,1,11,06,99,0,1,0,1,66,76,,,41,41,,,31,31,,
2013,2013-04-23,16:05,MA,3,0,0,1,1,2,O,66023,,,,,,RACHEL,1,PAPINEAU,E,2,11,13,2,2,32,50,11,1,1,11,06,28,0,0,1,1,61,76,,,43,41,,,99,37,,
2013,2013-04-23,17:05,MA,3,0,0,1,1,2,O,65005,,,,03627,,STE ROSE O,1,MTEE MONTROUGEAU,E,100,11,13,2,2,33,50,11,1,1,11,05,99,0,0,1,1,61,76,,,44,41,,,31,31,,
2013,2013-04-23,21:00,MA,3,0,0,1,1,2,O,54048,,,,,,STE ANNE,1,BOURASSA,,,11,13,2,3,32,50,12,3,1,11,06,21,0,0,1,1,61,76,,,41,41,,,31,40,,
2013,2013-04-24,8:20,ME,3,0,0,1,1,2,O,66023,,,,,,ST URBAIN,1,ONTARIO,N,40,11,13,1,3,33,50,11,1,1,11,05,28,0,0,1,1,61,76,,,43,41,,,31,31,,
2013,2013-04-24,8:50,ME,2,0,1,0,1,2,O,66023,,,,,,DE BORDEAUX,1,AV DU MT ROYAL E,,,11,13,1,3,32,50,11,1,1,11,06,99,0,1,0,1,62,76,,,44,41,,,34,37,,
2013,2013-04-24,14:40,ME,3,0,0,1,1,2,O,66107,,,,,,BD BEACONSFIELD,1,MANRESA O,,,11,13,2,2,32,40,11,1,,11,,26,0,0,1,1,61,76,,,44,41,,,31,31,,
2013,2013-04-24,15:46,ME,3,0,0,1,1,2,N,67035,,,,00105,,MONCHAMP,,,,,11,21,9,3,40,,11,1,1,11,,99,0,0,1,1,61,76,,,52,41,,,31,31,,
2013,2013-04-24,20:00,ME,3,0,0,1,1,2,O,36033,,,,,,3E AV,1,16E RUE,O,40,11,14,2,2,33,30,11,3,1,11,06,99,0,0,1,1,61,76,,,59,41,,,31,31,,
2013,2013-04-24,14:18,ME,3,0,0,1,1,2,O,39062,,,,,,BOIS FRANC N,2,BIGARRE,N,20,11,13,,3,33,50,11,1,1,11,06,21,0,0,1,1,61,76,,,41,41,,,39,31,,
2013,2013-04-25,12:55,JE,3,0,0,1,1,2,,73005,,,,00367,,GDE COTE,2,STAT,O,,11,21,,3,33,40,11,1,1,11,10,26,0,0,1,1,61,76,,,43,41,,,31,31,,
2013,2013-04-26,12:40,VE,3,0,0,1,1,2,O,66023,,,,,,ST PIERRE,,BERGE DU CANAL,N,10,13,13,5,3,34,50,12,1,1,11,05,28,0,0,1,1,61,76,,,43,41,,,31,31,,
2013,2013-04-26,21:25,VE,3,0,0,1,1,2,O,66023,,,,,,STE CATHERINE E,1,BERGER,,,11,13,1,3,32,50,11,3,1,11,,27,0,0,1,1,61,76,,,43,41,,,31,31,,
