AN,DT_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,ID_GR,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,NB_VICTIMES,NB_VEH_ACCDN_C,IN_ACCDN_CHMIN_PBL,CD_MUNCP,NO_ROUTE,BORNE_KM_ACCDN,CD_PNT_CDRNL_ROUTE,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,CD_PNT_CDRNL_REPRR,NB_METRE_DIST_ACCD,CD_ASPCT_ROUTE,CD_CATEG_ROUTE,CD_CONFG_ROUTE,CD_ENVRN_ACCDN,CD_LOCLN_ACCDN,VITSS_AUTOR,CD_COND_METEO,CD_ECLRM,CD_ETAT_CHASS,CD_ETAT_SURFC,CD_POSI_ACCDN,CD_IMPAC_ACCDN,CYC_MORT,CYC_GRAVE,CYC_LEGER,CYC_TOTAL,TYP_VEH_1,TYP_VEH_2,TYP_VEH_3,TYP_VEH_4,TYP_VEH_5,TYP_VEH_6,TYP_VEH_7,TYP_VEH_8,MOUV_VEH_1,MOUV_VEH_2,MOUV_VEH_3,MOUV_VEH_4,MOUV_VEH_5,MOUV_VEH_6,MOUV_VEH_7,MOUV_VEH_8,SIGN_VEH_1,SIGN_VEH_2,SIGN_VEH_3,SIGN_VEH_4,SIGN_VEH_5,SIGN_VEH_6,SIGN_VEH_7,SIGN_VEH_8
2012,2012-03-21,2:45,ME,3,0,0,1,1,2,O,66023,,,,,,ST HUBERT,1,ONTARIO,,,11,13,2,3,32,,11,3,1,11,06,21,0,0,1,1,ND,76,,,,,,,41,41,,,,,,,33,33,,,,,,
2012,2012-03-21,15:20,ME,3,0,0,1,1,2,O,66023,,,,,,MAISONNEUVE,,ST DENIS,,,11,13,1,3,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,44,41,,,,,,,33,33,,,,,,
2012,2012-03-21,16:24,ME,3,0,0,1,1,2,O,66023,,,,,,ROUSSELOT,1,JARRY,,,11,13,3,1,32,50,11,1,,11,,88,0,0,1,1,76,61,,,,,,,99,45,,,,,,,34,34,,,,,,
2012,2012-03-21,18:15,ME,3,0,0,1,1,2,,66023,,,,,,BELLECHASSE,1,ST LAURENT,,,12,13,1,3,35,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,46,41,,,,,,,40,31,,,,,,
2012,2012-03-21,,ME,3,0,0,1,1,2,O,66023,,,,,,LAURIER E,1,BERRI,,,11,14,1,2,32,40,11,1,1,11,05,28,0,0,1,1,61,76,,,,,,,43,41,,,,,,,31,31,,,,,,
2012,2012-03-21,21:47,ME,3,0,0,1,1,2,O,66023,,,,,,AUDOIN,1,PRIEUR,S,5,11,14,1,2,33,30,11,3,1,11,06,37,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-03-21,17:20,ME,3,0,0,1,1,2,O,65005,,,,,,MONTGOLFIER,1,N-D,N,5,11,14,2,2,,50,11,1,,11,,99,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-03-21,18:40,ME,3,0,0,1,1,2,O,59020,,,,01603,,RENE GAUTHIER,,,,,11,13,4,2,34,50,11,1,1,11,05,99,0,0,1,1,61,76,,,,,,,43,41,,,,,,,31,31,,,,,,
2012,2012-03-21,0:38,ME,3,0,0,1,1,2,O,61025,,,,,,STE ANNE,,RICHARD,,,11,13,2,3,32,50,11,3,1,11,06,21,0,0,1,1,76,61,,,,,,,41,41,,,,,,,33,37,,,,,,
2012,2012-03-21,18:00,ME,3,0,0,1,1,2,O,15013,,,,00220,,DE LA SEIGNEURIE O,,,,,11,14,2,2,34,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,99,,,,,,,31,31,,,,,,
2012,2012-03-22,8:41,JE,3,0,0,1,1,2,O,66023,,,,,,BLEURY,1,GAUCHETIERE O,N,,13,13,1,3,32,50,11,1,1,11,06,28,0,0,1,1,61,76,,,,,,,43,41,,,,,,,34,34,,,,,,
2012,2012-03-22,7:54,JE,3,0,0,1,1,2,,66025,,,,,,,1,RACHEL ET HOGAN,,,11,14,1,2,32,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,44,41,,,,,,,34,34,,,,,,
2012,2012-03-22,12:15,JE,3,0,0,1,1,2,O,66023,,,,,,JEAN TALON,1,BD LACORDAIRE,,,11,14,3,3,32,50,11,1,1,11,06,99,0,0,1,1,66,76,,,,,,,41,41,,,,,,,99,99,,,,,,
2012,2012-03-22,12:45,JE,3,0,0,1,1,2,O,66112,,,,,,LAKESHORE,1,MORGAN,,,21,14,2,2,32,50,11,1,5,11,05,31,0,0,1,1,66,76,,,,,,,41,43,,,,,,,40,40,,,,,,
2012,2012-03-22,16:55,JE,3,0,0,1,1,2,O,94068,,,,,,BD HARVEY,2,ST JACQUES,E,100,21,13,3,3,34,50,11,1,1,11,09,21,0,0,1,1,61,76,,,,,,,43,41,,,,,,,31,31,,,,,,
2012,2012-03-22,10:16,JE,3,0,0,1,1,2,O,75017,,,,,,BELANGER,1,BD MAURICE,O,,11,14,3,2,32,50,11,1,1,11,06,21,0,0,1,1,76,61,,,,,,,41,41,,,,,,,40,33,,,,,,
2012,2012-03-23,7:58,VE,3,0,0,1,1,2,O,66023,,,,01984,,ST ZOTIQUE E,,,,,11,14,2,2,33,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,56,41,,,,,,,31,31,,,,,,
2012,2012-03-23,20:15,VE,3,0,0,1,1,2,O,65005,,,,,,BD ROBIN,1,13E RUE,,,11,14,2,2,32,50,11,3,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,40,,,,,,
2012,2012-03-23,10:38,VE,3,0,0,1,1,2,O,81017,,,,01125,,BD ST RENE O,1,GREBER,O,60,11,14,2,3,33,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,51,41,,,,,,,31,31,,,,,,
2012,2012-03-23,16:30,VE,3,0,0,1,1,2,O,58227,,,,,,JEAN PAUL VINCENT,1,DE LA PROVINCE,,,11,13,4,4,32,50,11,1,1,11,05,99,0,0,1,1,61,76,,,,,,,42,41,,,,,,,34,99,,,,,,
2012,2012-03-23,17:30,VE,3,0,0,1,1,2,O,23027,,,,,,BD CHANTAL,1,DION,,,11,14,2,2,32,50,11,1,1,11,10,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-03-23,16:40,VE,3,0,0,1,1,2,O,50072,259,,,01250,,RG PETIT ST ESPRIT,,,,,11,12,2,2,34,70,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,52,41,,,,,,,31,31,,,,,,
2012,2012-03-24,17:50,SA,3,0,0,1,1,2,,66023,,,,,,,1,COTE STE CATHERINE ET DAVAAR,,10,11,12,2,2,32,50,12,1,1,11,05,26,0,0,1,1,61,76,,,,,,,43,41,,,,,,,31,31,,,,,,
2012,2012-03-24,13:45,SA,3,0,0,1,1,3,O,66023,,,,00368,,MT ROYAL E,1,ST DENIS,O,25,11,13,2,3,33,40,12,1,1,11,06,99,0,0,1,1,76,61,61,,,,,,54,49,47,,,,,,31,31,31,,,,,
2012,2012-03-25,12:56,DI,3,0,0,1,1,2,O,81017,,,,,,DU BARRY,1,PIERRE LAFONTAINE,,,11,14,2,2,32,50,12,1,1,11,06,21,0,0,1,1,76,61,,,,,,,43,41,,,,,,,40,31,,,,,,
2012,2012-03-25,19:30,DI,3,0,0,1,1,2,N,64008,,,,00600,,BD DES SEIGNEURS,,,,,11,21,9,3,40,,11,2,,11,,99,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-03-25,14:01,DI,3,0,0,1,1,2,O,60028,343,,,,,,1,RG POINT DU JOUR N,S,20,11,12,3,3,33,50,12,1,1,11,07,99,0,0,1,1,61,76,,,,,,,43,41,,,,,,,31,31,,,,,,
2012,2012-03-25,16:09,DI,3,0,0,1,1,2,O,54048,,,,,,STE ANNE,1,TURCOT,,,11,13,2,3,32,50,14,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,31,,,,,,
2012,2012-03-25,15:10,DI,3,0,0,1,1,2,O,61025,,,,01609,,ROGER GOULET,1,JOSEPH ALBERT CONTANT,S,5,11,14,2,2,32,50,12,1,1,11,06,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,31,31,,,,,,
2012,2012-03-27,16:54,MA,3,0,0,1,1,2,O,66023,,,,00700,,ATWATER,,,,,14,13,3,2,34,50,11,1,1,11,06,28,0,0,1,1,76,61,,,,,,,41,43,,,,,,,31,31,,,,,,
2012,2012-03-27,17:00,MA,3,0,0,1,1,2,O,66023,,,,01967,,MT ROYAL OPP,,BORDEAU,S,20,11,13,2,3,33,40,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,47,41,,,,,,,34,34,,,,,,
2012,2012-03-28,,ME,3,0,0,1,1,2,O,66023,,,,,,BEAUBIEN,1,ST DOMINIQUE,,,11,14,3,2,32,40,17,1,,12,,26,0,0,1,1,61,76,,,,,,,44,41,,,,,,,34,34,,,,,,
2012,2012-03-29,9:05,JE,3,0,0,1,1,2,O,66023,,,,,,,1,MONKLAND ET WALKLEY,,,11,14,2,2,32,50,11,1,1,11,07,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,40,40,,,,,,
2012,2012-03-29,8:50,JE,3,0,0,1,1,2,O,66023,,,,,,RENE LEVESQUE,1,BEAUDRY,,,11,13,3,3,32,50,12,1,1,12,06,28,0,0,1,1,62,76,,,,,,,43,41,,,,,,,31,31,,,,,,
2012,2012-03-30,3:35,VE,3,0,0,1,1,2,,66023,,,,,,SHERBROOKE,1,BERRY,O,25,11,,3,3,34,50,11,3,1,11,06,99,0,0,1,1,61,76,,,,,,,ND,41,,,,,,,31,31,,,,,,
2012,2012-03-30,18:50,VE,3,0,0,1,1,2,O,66023,,,,,,LASALLE,1,CHAMPLAIN,,,,14,,2,,,11,1,1,11,05,99,0,0,1,1,61,76,,,,,,,43,ND,,,,,,,40,ND,,,,,,
2012,2012-03-30,15:42,VE,3,0,0,1,1,2,,66023,,,,,,ALEXANDRE DE SEVE,,LAFONTAINE,,,11,14,2,2,32,,11,1,1,11,,39,0,0,1,1,61,76,,,,,,,43,ND,,,,,,,40,ND,,,,,,
2012,2012-03-30,12:00,VE,3,0,0,1,1,2,O,66102,,,,,,,,,,,11,13,2,2,32,,11,1,1,11,07,99,0,0,1,1,ND,76,,,,,,,41,ND,,,,,,,40,ND,,,,,,
2012,2012-03-30,16:40,VE,3,0,0,1,1,2,N,59010,,,,01950,,CH DU FER A CHEVAL,1,DU PONCEAU,,,11,21,,3,40,,11,1,1,11,,21,0,0,1,1,61,76,,,,,,,41,41,,,,,,,ND,ND,,,,,,
